	GSM8268694	GSM8268695	GSM8268696	GSM8268707	GSM8268708	GSM8268709
100287102	13	10	11	4	1	18
653635	331	365	382	264	26	813
102466751	18	17	13	13	2	62
100996442	44	60	40	41	1	113
729737	127	169	153	169	10	398
102725121	7	17	12	3	1	15
102723897	401	504	431	305	30	990
102465909	11	12	13	12	2	43
112268260	16	22	20	13	0	30
100132287	166	221	213	172	9	419
113219467	2520	2424	2013	1297	162	2457
100133331	239	290	290	214	13	490
107984841	104	120	131	82	6	222
107984847	94	133	121	65	5	221
107984849	33	35	29	18	0	61
100288069	67	109	97	80	3	217
105378580	58	62	63	45	2	102
400728	11	12	10	11	0	27
79854	23	52	52	31	5	81
643837	928	1158	1017	619	51	1476
284600	26	43	40	11	0	60
100130417	38	36	33	8	0	39
107985728	63	47	50	11	1	46
148398	374	393	389	167	19	448
26155	4719	5661	5240	2103	159	6093
339451	680	735	733	509	48	1398
84069	102	93	82	70	5	179
84808	15	16	23	9	3	36
57801	241	275	243	126	5	318
9636	258	216	234	206	23	534
375790	11026	12215	11306	8205	589	22955
100288175	56	54	45	45	3	97
112267874	12	5	9	11	1	26
105378948	46	40	36	35	6	109
54991	350	423	375	237	22	686
51150	3854	4332	4219	2274	191	6585
126792	1046	1067	1026	695	57	1801
388581	20	12	20	17	0	48
118424	2215	2499	2322	1115	93	3210
101928895	64	69	54	79	4	223
6339	128	127	171	183	16	562
116983	1103	1319	1256	872	79	2594
126789	393	507	481	196	17	552
54973	2530	2920	2737	1722	125	4773
102465435	16	19	10	6	0	18
80772	814	937	912	491	34	1392
83756	56	55	54	28	5	121
1855	2437	2519	2500	1119	112	3181
54587	1447	1615	1504	1599	134	4239
54998	2045	2189	2204	1206	108	3310
81669	5445	7212	6123	4235	374	11037
148413	636	716	688	398	36	1248
55052	1855	2178	1947	935	81	2505
64856	175	162	169	210	13	514
219293	121	128	146	66	5	142
83858	2779	2996	3078	1083	77	3199
55210	2659	2915	2890	1196	89	3303
339453	67	63	55	64	9	167
29101	3410	4258	3559	1786	174	4880
643988	70	69	74	103	11	225
105378586	14	10	4	15	0	19
142678	1057	1152	1135	1215	107	3468
8510	80	78	74	61	4	152
984	3207	3782	3504	2188	178	6313
728661	1540	2004	1779	1835	150	5032
8511	12	21	12	10	2	33
728642	1997	2400	2079	1492	133	4449
9906	1236	1544	1483	1471	126	4042
112268218	139	181	154	111	6	323
65220	2112	2527	2325	1431	122	3901
2782	27649	34074	29902	13223	1136	35869
105378949	20	23	25	15	0	55
339456	41	35	40	9	6	49
5590	253	259	254	204	11	581
100506504	70	69	74	37	1	130
199990	1173	1231	1219	874	58	2404
112268219	248	252	240	164	14	455
6497	4833	5974	4985	3261	289	8698
79906	141	150	119	107	8	342
100129534	30	32	32	28	4	82
11079	4303	5398	4736	2627	196	6767
5192	636	755	689	493	32	1252
9651	36	37	30	20	3	68
55229	1186	1371	1366	780	61	2043
8764	20	14	15	18	0	66
127281	870	974	1017	531	50	1513
79258	106	143	134	62	8	211
100287898	10	7	8	11	5	25
440556	40	54	52	66	7	184
63976	657	843	771	474	23	1253
105378604	44	88	61	41	5	123
27237	80	86	77	103	4	326
1953	2438	3040	2515	2250	209	6412
127262	1241	1631	1309	736	68	2027
49856	365	498	432	334	21	934
7161	19	25	23	53	6	146
57212	1322	1585	1441	1082	86	3219
57470	2212	2708	2418	1111	101	3126
9731	1510	2033	1796	1006	99	2751
1677	175	237	249	140	7	363
107984910	9	13	17	9	0	17
339448	936	1123	1066	558	40	1689
100133612	0	8	10	12	2	31
261734	565	558	545	393	36	1127
8514	93	93	80	257	20	626
26038	191	193	233	97	10	294
6146	11538	14460	13582	6666	636	18925
107985733	73	93	89	77	6	164
388591	438	599	529	610	45	1763
23463	8323	9607	8384	5097	451	12890
387509	123	141	151	175	17	463
11332	1763	2243	2157	1093	100	2845
83715	26	20	24	24	2	42
8718	243	263	258	245	13	716
57449	779	1063	885	893	59	2432
79707	2965	3943	3788	1581	114	4342
3104	352	412	413	358	28	929
9903	2002	2204	2231	929	65	2487
107984913	25	39	22	44	2	121
148479	1964	2305	1913	1388	137	3671
90326	1112	1365	1304	617	61	1744
55735	2749	3438	3182	1481	124	3910
110841581	9	15	10	12	0	32
23261	1228	1423	1261	719	68	1967
9341	5611	7473	5908	2915	268	6827
8863	934	1272	1174	523	39	1367
3604	45	52	44	88	8	203
11315	5921	6781	6017	3209	314	9290
54206	3290	4454	3471	1895	196	4959
50651	14	20	25	27	3	57
473	3949	4595	4101	3373	226	9327
2023	88066	106105	97093	41711	3625	113004
102465436	20	29	6	3	0	45
6518	8	15	12	10	1	20
80045	155	224	212	100	8	305
106614088	60	70	59	146	11	408
9563	804	1066	904	907	71	2370
80176	951	1061	978	791	64	1981
100506022	15	27	22	22	0	48
84275	810	1109	939	353	24	942
199953	1807	2001	1969	925	73	2393
107985734	19	33	33	16	1	41
5293	2470	2968	2752	2401	199	6370
101929074	16	25	8	21	4	48
22883	8979	10275	9632	6954	516	18948
56998	596	629	568	661	60	1727
105376717	23	27	26	30	5	88
84328	2559	3409	3027	1372	132	3391
64802	422	591	540	491	44	1178
116362	185	251	203	112	9	305
10277	3562	4363	3944	2572	238	7063
23095	10261	13006	11363	5553	483	14431
105376725	19	27	30	8	0	35
5226	6243	7593	6683	4734	425	12380
100526739	359	438	378	228	19	634
378708	421	490	412	251	20	696
1325	30	29	42	18	1	72
1676	5588	6892	6804	2565	214	6557
5195	745	872	838	446	29	1366
54897	244	387	314	221	19	611
23435	14363	18312	15509	6556	563	16617
10747	222	287	259	134	7	329
6723	6547	7868	7852	1760	110	4515
5394	6036	7328	6865	3592	315	9418
105376736	137	142	140	80	7	267
2475	6852	8333	7868	4324	350	11985
100873935	91	126	127	77	8	179
10218	10	23	17	3	0	8
29914	1264	1424	1247	560	55	1419
26232	11	24	14	25	3	54
93611	190	235	207	164	10	476
26270	97	101	103	42	3	131
10459	1191	1355	1252	698	72	1979
374946	34	31	55	79	5	200
57085	420	518	479	421	27	1016
284498	49	65	56	106	9	263
4524	298	334	320	513	36	1373
1185	1200	1460	1283	1114	87	3032
100379251	163	232	198	160	17	418
4878	26	40	25	20	2	59
4879	35	55	49	2	1	6
90231	1979	2474	2259	1257	92	3414
5351	5282	6091	5570	3203	251	8476
9927	7040	8382	7921	4066	378	11529
60672	664	847	792	414	33	1160
943	35	45	43	11	1	48
7133	81	76	86	133	12	364
55187	3255	4006	3456	2300	194	6444
9249	110	103	105	462	43	1286
10630	531	641	557	679	71	1706
7799	2067	2627	2439	1270	102	3463
23254	1464	1678	1512	623	58	1811
105376759	6	22	20	8	1	20
107985469	10	11	13	4	0	6
200197	48	60	44	40	5	144
55092	415	505	436	357	36	966
101927441	26	14	28	10	2	29
79180	2247	2624	2264	1391	104	3764
842	253	313	273	287	20	764
23341	1453	1842	1585	859	59	2267
79814	126	155	145	61	6	165
84301	1976	2660	2401	1141	108	3096
6248	410	560	534	208	21	614
23207	2857	3314	3092	1795	136	4955
284723	62	75	60	60	6	115
54751	2924	3413	3355	1398	128	3870
440567	280	316	285	181	14	432
729614	128	133	121	119	9	343
23013	6443	8121	7331	3795	282	10910
7709	956	1264	1280	705	62	2033
1188	25	49	29	39	5	121
348487	24	36	32	51	4	104
1969	4499	5185	4927	2776	213	7973
101927479	77	110	83	29	2	103
128272	212	262	258	200	20	526
101927546	4	18	8	13	1	32
79363	48	43	59	42	8	158
54455	1373	1712	1586	828	81	2431
26099	5322	6261	5497	2686	255	7511
374955	2901	3349	2896	1445	127	3957
55707	1809	2164	1995	1324	97	3592
107984921	95	130	128	91	4	295
114819	244	292	305	267	12	732
55672	2344	2837	2632	1590	117	4433
105376794	1104	1282	1254	973	83	2525
84809	396	488	420	357	29	938
11209	16	17	32	38	4	125
107985736	9	20	10	22	0	49
11223	14	11	16	28	1	55
105376805	17	32	40	32	2	83
9696	501	529	517	520	42	1547
4237	610	740	699	446	48	1137
105376806	106	142	150	98	5	236
23400	1252	1402	1300	1125	93	3050
6390	2775	3207	2981	1473	102	3540
11240	106	154	144	178	25	550
400743	28	38	32	22	4	49
29943	30	6	15	3	0	30
55920	9359	11214	10000	5974	523	16146
55160	287	318	267	254	24	658
8659	733	745	737	570	39	1469
126917	1219	1395	1136	694	49	1933
23352	21110	26294	23449	15172	1299	41438
101927895	227	286	241	138	13	405
23065	7055	8502	7889	3765	290	10058
51154	4303	5090	4544	1174	107	3294
246181	33	40	40	34	2	78
22977	31	45	33	21	2	73
100506730	195	260	202	189	19	540
8574	1156	1281	1220	958	76	2478
54896	570	607	679	487	29	1258
832	9124	11078	9971	4740	400	12772
440574	1666	1998	1770	943	121	2921
100532736	1311	1496	1355	946	88	3082
644068	32	31	29	12	1	47
4681	916	990	899	717	51	2062
255104	353	345	356	253	28	745
23252	1449	1725	1567	798	67	2063
55450	85	125	124	69	8	210
79594	1128	1362	1318	648	49	1855
163933	5	10	11	13	1	23
65018	1040	1122	1029	906	61	2509
102464833	42	48	47	54	3	136
100861548	1579	1786	1548	1068	84	2805
1650	8223	9600	8408	4774	397	12758
57576	34	69	72	34	9	65
400745	216	310	298	45	5	165
112268222	2205	3102	2449	1891	158	4587
50809	10842	14458	12076	9875	778	25855
8672	6706	8562	7585	4944	428	13381
105376830	13	23	23	8	0	45
105376829	11	17	12	1	0	17
1889	6072	6884	6354	5136	397	14119
100506801	15	6	18	1	0	28
84224	454	574	525	410	30	1100
249	23	25	29	17	4	50
5909	44	33	35	33	1	102
84196	4681	6382	5190	3384	306	9156
401944	518	570	572	364	17	1125
3339	6914	8289	7521	6004	462	16707
101928043	5	19	12	6	0	28
29092	193	219	203	175	17	414
112268223	8	17	12	5	1	24
998	15469	19237	16678	6815	626	17131
54361	11	19	22	10	3	25
105376845	36	25	28	11	1	24
105376850	13	17	29	11	0	19
9923	1656	2010	1901	1301	110	3579
2048	5481	6189	5856	2927	237	8768
100422914	120	140	130	66	6	168
23028	8434	10477	9475	4771	403	12826
7798	6871	8076	7274	3864	300	9925
3352	232	295	256	289	34	728
100996511	407	549	503	188	22	697
10236	16707	20657	17702	7106	674	18764
80818	930	1209	1018	1012	94	2575
148898	122	128	93	130	9	334
6920	63	87	95	84	11	259
55616	1197	1479	1359	1295	108	3615
1870	344	384	365	438	25	1151
101928163	9	8	12	12	0	34
3399	3577	4000	3843	683	39	1771
6135	20525	24341	22218	10562	991	29642
6924	4304	5400	5011	2144	161	5924
100506963	290	377	316	177	12	457
57095	1700	2221	1906	878	90	2507
105376860	151	170	138	107	3	252
11313	1253	1483	1360	837	64	2401
2582	821	956	868	542	47	1362
3155	397	536	473	402	27	1189
2517	452	625	501	447	38	1156
55629	5553	7331	5897	2910	259	7517
10772	11727	16195	12887	6625	606	16389
127294	34	55	50	10	3	58
58985	20	21	21	34	4	85
163702	158	160	153	176	10	380
57822	21	29	14	14	0	40
90529	578	644	568	246	24	636
57185	4856	5809	5350	1840	179	4733
11123	1725	2363	2015	844	83	2039
100506985	103	130	117	45	1	109
10250	7740	9809	9508	4408	316	11670
25932	53332	69908	53763	24417	2277	58426
864	28	44	33	41	2	113
25949	1366	1618	1389	873	92	2422
57035	2068	2620	2302	2448	199	6214
6007	51	45	57	54	3	127
23585	3335	4044	3437	1744	165	4554
6006	2033	2611	2175	965	93	2468
55219	1867	2164	1844	690	63	1969
26119	1020	1319	1180	702	50	1854
57134	33	50	50	71	4	185
57190	3421	4039	3605	2686	190	6831
56181	1304	1552	1341	851	66	2183
646471	209	270	201	213	8	499
79000	812	959	865	466	34	1072
164091	824	1037	1025	483	35	1363
3925	20408	26001	21840	14980	1329	38058
100500808	1141	1699	1683	964	71	3249
5051	419	503	462	271	27	706
2134	10	13	9	15	2	43
149420	640	812	629	354	36	947
51042	391	394	427	196	20	475
10256	41	24	24	12	0	23
64793	2652	3133	2884	1796	121	4542
83442	5751	6774	6377	3262	257	8312
91544	487	588	547	422	43	1235
55057	2	17	15	13	0	33
79947	1407	1768	1600	803	63	2062
101928324	26	35	29	24	0	69
3151	23768	30698	25658	16467	1582	46304
6195	1106	1244	1200	1101	70	3044
101928728	32	51	23	17	2	42
8289	7983	9803	9288	3983	298	11283
55650	179	204	207	209	13	506
84243	1646	1850	1911	1011	85	2667
2810	45	34	32	26	0	75
54707	1702	2083	1994	974	75	2648
63906	568	576	576	301	28	988
10726	6311	7202	6846	3070	307	8588
388610	282	384	311	103	6	292
115572	550	601	536	194	15	567
6548	2316	2593	2402	1661	116	4102
23038	1673	2026	1865	2011	188	5336
84065	1015	1227	1104	593	52	1659
644961	149	195	191	74	5	237
84958	35	23	20	38	1	56
9064	1373	1561	1508	1148	86	2956
2827	59	75	67	51	3	82
10163	6699	8223	7603	4330	316	11407
27245	1222	1207	1303	1185	86	3414
2537	324	338	320	349	21	794
199870	490	652	524	283	23	757
23673	2187	2811	2226	1263	93	2973
